30
10
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
0	64	64	64	64	64	0	64	64	0	
86	86	86	86	0	86	0	0	0	0	
65	0	65	65	0	0	65	0	65	65	
0	59	59	0	0	0	59	0	59	0	
44	0	0	0	0	0	0	0	44	44	
0	33	0	0	33	0	0	0	33	0	
0	0	85	0	0	85	0	85	0	85	
61	0	0	0	61	61	61	0	0	0	
32	0	0	0	0	32	0	32	0	32	
0	0	0	63	0	0	63	0	63	63	
30	0	0	30	30	0	30	0	0	0	
0	0	0	0	11	0	11	0	11	0	
0	0	0	0	0	61	0	61	61	0	
84	0	0	0	0	0	0	0	84	84	
0	0	16	16	0	16	16	0	0	0	
0	0	0	90	90	0	0	90	0	0	
0	30	0	0	0	30	30	0	0	0	
60	0	60	0	60	0	0	0	0	60	
93	0	0	93	93	93	0	93	93	0	
44	44	44	0	0	0	0	0	44	0	
45	0	45	0	45	0	45	0	45	0	
0	0	11	11	0	11	0	11	0	0	
0	0	28	0	28	28	28	0	28	0	
32	32	0	0	0	0	32	0	0	32	
0	0	0	0	36	0	36	36	36	0	
0	31	0	31	0	0	0	31	31	0	
47	0	47	0	47	47	0	0	0	47	
20	20	20	20	20	0	0	0	20	0	
0	0	0	0	52	52	52	0	52	0	
0	0	35	0	35	0	0	0	0	35	
0	49	49	49	0	0	0	0	49	49	
0	0	17	17	17	17	0	0	17	0	
0	0	0	34	0	0	0	0	0	0	
0	0	49	0	49	49	49	49	0	0	
0	84	84	0	0	0	84	84	0	0	
85	0	0	0	0	85	0	0	85	0	
0	0	0	0	0	20	20	20	20	20	
74	0	74	74	0	0	74	74	74	0	
0	68	0	0	68	0	68	68	0	68	
10	0	10	0	10	10	0	10	0	0	
0	0	77	0	0	0	0	77	0	77	
0	0	0	71	0	0	0	0	71	71	
0	7	7	7	7	7	7	7	0	0	
29	0	0	29	29	0	29	29	0	0	
85	85	0	0	85	85	0	0	85	85	
76	76	0	0	76	0	76	0	76	76	
0	0	0	0	0	59	59	0	0	0	
0	0	17	0	17	17	17	0	0	17	
17	0	0	0	0	17	0	0	17	17	
13	13	0	13	0	13	0	0	13	13	
0	0	0	0	0	0	0	48	0	0	
39	39	39	39	0	0	39	39	0	0	
16	0	0	0	16	0	16	0	0	16	
39	0	39	39	39	39	0	0	39	0	
0	0	0	87	0	87	87	0	87	0	
0	0	0	0	11	0	0	11	11	0	
32	0	32	32	0	0	32	0	0	32	
15	0	15	0	0	0	0	0	0	0	
19	19	0	19	0	0	0	0	0	0	
64	0	0	0	0	64	0	0	0	64	
43	43	0	43	0	0	0	0	43	0	
0	33	0	33	0	33	33	33	0	33	
82	0	82	0	0	0	82	82	82	82	
92	92	92	0	0	0	0	92	92	92	
83	83	0	83	83	83	0	0	0	83	
32	0	0	32	0	32	32	0	32	32	
0	0	0	99	0	0	0	99	0	99	
0	0	99	99	99	0	0	0	0	99	
91	0	0	0	91	0	0	91	0	0	
8	0	0	8	8	0	8	0	0	0	
57	57	0	0	0	0	57	57	0	0	
0	7	0	0	0	0	7	7	0	0	
48	0	48	0	0	48	0	0	0	48	
0	0	0	0	62	62	0	0	62	62	
0	0	88	88	88	88	0	0	88	0	
0	0	0	0	21	21	21	21	21	21	
0	39	0	0	0	39	0	39	0	39	
0	27	0	27	0	27	0	0	27	27	
91	0	0	91	91	91	91	0	0	0	
0	38	0	0	0	38	0	0	0	38	
69	69	69	0	0	69	69	0	0	69	
0	64	64	64	64	64	0	0	0	64	
45	0	45	0	0	0	0	0	45	0	
24	0	0	24	0	0	0	0	24	0	
0	0	80	0	80	0	80	80	80	0	
0	67	67	0	0	67	0	0	0	67	
0	0	18	0	18	0	0	0	18	0	
38	38	0	0	38	0	38	38	0	38	
88	0	0	88	0	0	0	0	0	88	
0	80	80	0	0	80	0	0	80	0	
44	44	44	44	0	44	0	0	0	0	
0	0	15	0	15	15	15	0	0	0	
72	0	72	72	0	72	0	72	0	0	
40	40	0	0	40	40	0	40	0	0	
0	0	21	0	0	0	0	21	21	0	
0	52	0	52	0	52	52	0	52	0	
51	0	0	0	51	51	0	51	51	0	
0	59	0	59	0	59	0	0	0	59	
24	24	24	0	0	0	24	24	24	0	
0	0	0	0	47	0	47	0	47	47	
0	0	43	43	0	43	43	0	0	43	
77	0	77	0	77	77	77	0	0	0	
0	0	43	43	0	43	43	43	43	0	
0	40	40	0	40	40	0	0	0	40	
31	31	31	0	0	0	0	31	0	0	
0	0	0	0	76	0	76	0	76	0	
20	0	0	20	20	20	20	0	0	0	
0	0	0	88	88	88	88	88	0	88	
0	70	0	70	70	0	0	0	70	70	
5	5	0	0	0	0	0	0	5	5	
32	32	0	32	0	0	0	0	32	32	
0	0	14	0	0	0	0	0	0	14	
0	0	0	0	58	58	58	58	58	0	
0	85	85	85	0	0	85	85	0	85	
64	0	0	64	0	64	0	64	64	0	
26	26	0	0	26	0	26	0	26	0	
94	0	0	94	94	94	94	0	0	0	
32	0	32	0	32	0	0	32	0	0	
49	49	0	49	49	49	49	49	0	0	
80	0	0	80	80	0	80	0	80	80	
47	0	0	47	47	47	0	0	0	0	
0	0	0	23	23	23	23	0	0	23	
11	11	11	0	0	11	0	11	0	0	
34	34	0	34	0	0	0	0	34	0	
0	0	0	0	75	0	0	0	75	0	
0	0	79	0	79	79	79	79	0	79	
0	0	0	26	26	26	0	0	0	26	
0	96	96	0	96	96	0	0	0	96	
5	5	0	0	0	0	0	0	0	0	
9	0	0	0	9	0	9	9	0	0	
59	59	59	59	0	59	59	0	59	59	
75	0	75	75	0	0	75	0	0	75	
0	20	20	0	0	0	0	0	0	20	
0	10	0	0	0	10	10	10	10	0	
66	66	0	66	0	0	66	66	0	0	
0	43	43	0	43	43	43	43	0	43	
37	0	37	0	0	0	37	37	37	0	
0	9	9	0	0	0	0	0	9	0	
0	0	0	0	83	0	0	83	83	83	
68	0	0	0	68	0	0	68	68	0	
0	52	0	0	0	52	0	0	0	0	
54	54	0	54	54	0	54	54	54	0	
0	26	0	26	0	26	26	26	0	0	
0	79	0	0	79	0	0	0	0	0	
0	0	88	88	88	88	88	88	0	88	
0	84	84	0	0	0	84	84	84	84	
6	6	0	6	6	0	0	0	0	0	
0	54	54	54	54	0	0	54	54	54	
0	59	0	59	59	59	59	0	0	59	
0	0	0	28	28	0	28	0	0	0	
0	0	0	42	0	42	0	0	0	0	
0	0	56	0	56	0	0	0	56	0	
0	29	29	29	0	29	0	0	0	29	
36	36	0	36	0	0	36	36	36	0	
40	40	40	0	0	40	40	0	0	0	
86	0	0	0	0	0	86	0	86	0	
0	0	0	0	0	0	68	68	68	0	
0	69	69	69	69	0	69	69	69	69	
23	0	0	0	23	0	23	23	0	0	
62	0	62	0	62	62	62	0	0	62	
16	16	16	16	0	16	0	0	0	0	
53	0	0	53	0	53	0	53	0	0	
5	5	5	0	5	0	0	5	5	0	
17	0	0	0	0	0	17	0	0	17	
0	0	59	59	59	0	59	59	0	59	
0	0	59	59	59	0	0	59	59	59	
0	78	0	0	0	0	78	78	78	0	
0	0	0	64	64	0	0	0	64	0	
82	82	82	0	82	0	0	82	0	0	
13	0	0	0	13	13	0	0	0	0	
0	12	0	12	12	12	0	12	0	0	
0	0	0	0	7	7	0	7	0	7	
0	0	62	0	0	0	62	0	62	0	
0	0	90	90	90	0	90	90	0	0	
0	83	83	83	83	83	0	0	0	83	
0	85	85	0	0	0	0	0	0	0	
0	0	69	69	69	69	0	69	69	69	
16	0	0	16	16	16	16	0	16	16	
81	0	81	0	81	81	0	81	81	81	
0	0	58	58	58	0	58	0	58	0	
66	0	66	0	0	0	0	66	66	66	
0	24	24	0	0	0	24	24	24	24	
0	0	65	0	65	0	0	65	65	65	
69	69	0	0	69	0	69	69	0	0	
0	42	0	0	0	42	0	0	0	0	
82	0	0	0	82	0	82	82	82	82	
82	0	82	0	82	82	82	0	0	0	
83	0	0	0	83	0	0	0	83	0	
0	0	46	46	46	0	46	0	0	0	
0	0	0	72	0	72	0	72	72	72	
0	0	0	0	33	0	33	0	0	33	
0	10	0	10	0	0	0	10	10	0	
0	27	0	0	0	0	27	0	27	27	
43	0	0	43	0	0	43	43	43	0	
0	20	0	20	20	20	20	0	0	0	
0	71	0	71	71	71	0	71	71	0	
0	0	65	0	0	65	0	65	0	65	
73	0	73	0	73	0	73	0	0	0	
0	99	0	0	0	0	99	0	0	0	
24	24	24	0	0	0	0	24	0	0	
0	0	64	64	0	0	0	64	64	64	
35	35	0	0	0	35	35	0	0	35	
0	92	0	92	0	92	92	0	0	92	
38	38	38	0	38	0	0	0	38	0	
0	0	35	0	35	35	0	0	0	0	
30	0	30	0	30	30	30	30	0	0	
0	0	0	45	0	45	45	45	45	45	
8	0	8	8	8	8	0	8	8	8	
0	82	0	82	82	0	82	0	0	0	
34	34	0	34	34	34	34	34	0	34	
0	0	21	0	21	21	21	21	0	21	
23	0	23	0	0	23	0	0	0	0	
0	84	0	84	0	0	0	84	84	0	
0	0	7	0	0	0	7	0	0	7	
0	85	85	0	85	85	0	0	0	0	
0	60	0	0	0	0	0	60	60	0	
0	15	0	15	0	15	0	0	0	0	
0	0	52	52	0	0	52	52	0	52	
0	0	0	0	94	94	94	0	0	0	
0	83	83	83	83	0	83	83	83	83	
6	6	0	0	6	6	0	0	0	0	
0	0	70	0	0	0	0	70	0	70	
0	0	0	29	29	29	29	29	29	29	
27	27	0	0	0	0	27	0	27	0	
80	80	0	0	0	0	0	0	0	80	
6	0	6	0	6	0	0	6	0	0	
0	39	39	39	39	39	39	39	39	0	
0	79	79	0	79	79	0	0	0	0	
28	0	0	0	0	28	28	28	28	0	
0	66	66	66	0	66	66	0	0	66	
0	0	0	0	0	66	66	0	66	0	
